pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿En qué año ganó Argentina su primer Mundial de fútbol?,1930,1978,1986,2006,2
¿Quién es considerado el mejor basquetbolista argentino?,Emanuel Ginóbili,Luis Scola,Carlos Delfino,Facundo Campazzo,1
¿Cuántos jugadores hay en un equipo de fútbol?,9,10,11,12,3
¿En qué país se originó el judo?,China,Japón,Corea,Tailandia,2
¿Quién ganó el Mundial de fútbol en 2010?,Alemania,España,Brasil,Italia,2
¿Cuál es el deporte principal en Wimbledon?,Fútbol,Tenis,Golf,Cricket,2
¿Cuántos puntos vale un triple en básquet?,1,2,3,4,3
¿Quién tiene más títulos de Grand Slam en tenis masculino?,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray,3
¿Qué selección ganó el Mundial 2022?,Argentina,Francia,Brasil,Croacia,1
¿Qué país organiza la Fórmula 1?,FIFA,NBA,FIA,FIM,3
¿Qué significa 'KO' en boxeo?,Knock Over,Kick Out,Knock Out,Keep Off,3
¿Qué país ha ganado más medallas olímpicas?,China,EE.UU.,Rusia,Alemania,2
¿Quién es Lionel Messi?,Arquero,Delantero,Defensor,Mediocampista,2
¿Cuál es el deporte nacional de Argentina?,Fútbol,Pato,Rugby,Tenis,2
¿Qué deporte practica Serena Williams?,Golf,Tenis,Atletismo,Boxeo,2
¿Dónde se celebraron los JJ.OO. 2016?,Londres,Tokio,Río de Janeiro,Pekín,3
¿En qué país se juega la NBA?,Canadá,México,EE.UU.,España,3
¿Cuál es el nombre de la copa del Mundial?,Balón de Oro,Trofeo FIFA,Copa del Mundo,Trofeo Mundial,3
¿Qué equipo ganó más Copas Libertadores?,Boca,River,Independiente,Santos,3
¿Quién es Michael Jordan?,Jugador de fútbol,Piloto,Gimnasta,Jugador de básquet,4
¿Cuál es la capital de Francia?,Madrid,Roma,París,Berlín,3
¿Cuál es la capital de Japón?,Pekín,Tokio,Seúl,Osaka,2
¿Cuál es la capital de Brasil?,Brasilia,Rio,Sao Paulo,Recife,1
¿Cuál es la capital de Canadá?,Toronto,Montreal,Ottawa,Vancouver,3
¿Cuál es la capital de Alemania?,Berlín,Múnich,Hamburgo,Fráncfort,1
¿Cuál es la capital de Australia?,Melbourne,Sídney,Perth,Canberra,4
¿Cuál es la capital de Egipto?,El Cairo,Alejandría,Giza,Luxor,1
¿Cuál es la capital de México?,Guadalajara,Monterrey,CDMX,Tijuana,3
¿Cuál es la capital de Italia?,Nápoles,Milán,Roma,Venecia,3
¿Cuál es la capital de Rusia?,San Petersburgo,Moscú,Kiev,Volgogrado,2
¿Quién fue el primer presidente argentino?,Sarmiento,Rivadavia,San Martín,Rosas,2
¿Qué fecha es el Día de la Independencia?,9 de julio,25 de mayo,20 de junio,10 de diciembre,1
¿Qué ocurrió el 25 de mayo de 1810?,Independencia,Asamblea del año XIII,Revolución de Mayo,Primera presidencia,3
¿Quién fue José de San Martín?,Escritor,Militar,Político,Religioso,2
¿Qué guerra se libró en 1982?,Malvinas,Triple Alianza,Independencia,Paraguay,1
¿Qué presidente impulsó la Ley Sáenz Peña?,Yrigoyen,Roca,Mitre,Alvear,2
¿Qué provincia fue cuna de San Martín?,Buenos Aires,Córdoba,Misiones,Corrientes,4
¿Qué fue la Campaña del Desierto?,Batalla naval,Exploración,Avance militar en el sur,Tratado de paz,3
¿Qué hizo Belgrano?,Escribió la Constitución,Creó la bandera,Ganó Malvinas,Fue presidente,2
¿Quién fue Evita?,Esposa de Rivadavia,Esposa de San Martín,Esposa de Perón,Esposa de Urquiza,3
¿En qué año se sancionó la Constitución Argentina?,1853,1816,1880,1826,1
¿Qué presidente fue derrocado en 1976?,Frondizi,Perón,Isabel Perón,Alfonsín,3
¿Qué ocurrió en 1916?,Fin del Virreinato,Primera elección con voto secreto,Independencia,Golpe militar,2
¿Qué presidente asumió en 1983?,Menem,Alfonsín,Duhalde,Kirchner,2
¿Quién lideró la Revolución Libertadora?,Videla,Rojas,Aramburu,Lanusse,3
¿Qué general cruzó los Andes?,San Martín,Belgrano,Rosas,Rivadavia,1
¿Cuándo fue el primer gobierno peronista?,1930,1946,1955,1966,2
¿Qué significa el 17 de octubre?,Revolución de Mayo,Día de la Lealtad,Grito de Alcorta,Voto femenino,2
¿Qué hecho ocurrió en 2001 en Argentina?,Golpe de Estado,Crisis económica,Elección presidencial,Constitución nueva,2
¿Qué papel tuvo Sarmiento?,Independencia,Educación,Militar,Religioso,2
